	1416
9032912	1
4749700	64
4265020	6
7725278	29
9727904	12
726079	16
261367	13
9874982	40
4627285	3
8906846	2
3869767	510
3409586	98
6206300	37
8627000	4
549542	1
4182185	25
7231151	1
8005907	4
261350	7
3772298	26817
4519466	1
9874976	7
3894713	2947
7231145	3
4265043	124
4001367	1
9125105	2
4519472	2
2194043	5
7955989	1
3938008	21
3880177	238
9850993	12
4328737	87
9908824	1
114353	1
4157164	1237
3336025	6
3723302	45
9198179	11
5485350	1
1410421	1
9874953	5
2003876	2
775095	56
6269967	3
4519489	5
3762911	96
9874947	14
5206054	1
3880183	201
3336002	68
403057	27
2194020	16
4519495	4
3351639	4107
9776512	7
4666842	49
3938020	4
3953663	31
9850970	23
6652301	40
3713999	346
5206083	1
4652202	3
4892395	3
138342	2
7534561	2
9776506	12
3723325	37
6054793	3
4666836	45
9874930	11
4627256	1
9850987	9
2003899	1
775072	52
7955995	1
3855185	770
7534578	10
3336019	3
9546640	1
368208	206
3963006	364
9776535	1
285356	2
3409528	64
7882523	4
3880131	34
7882517	4
4701750	1
4892337	5
6642923	51
2184688	1019
2723889	5
285362	3
9776529	3
4666813	13
3639464	1398
6221989	4
3640450	245
2723872	1
9811355	4
9850964	13
9908876	2
4989835	231
5485315	1
7088417	1
114382	25
3409534	17
9850958	23
7206101	1
7534555	3
12641	1
4892343	7
9066302	1
4666807	161
3879168	2052
4990815	1
4196744	442
7245710	3
9776558	17
3963029	576
368243	53
285379	1
8833389	2
403092	320
6206381	5
9874901	5
7882546	5
9850929	9
7788882	41
9546611	1
6123034	824
9811361	5
3713953	2
9017290	1
114376	15
6642946	1
2184665	4509
4990821	1
3267867	1469
285385	18
2723895	8
775037	2
9850941	64
5485338	1
9017284	2
1180091	363
3938072	1
9776541	16
3640438	49
3292807	4
3409511	107
525501	1
9850935	21
4892366	6
3747225	296
3723259	11
9532069	3
6030893	33
393100	325
9811421	4
608380	2
7882569	3
9776570	3
85539	1
6280377	1
9605414	1240
7402747	291
4377747	1
2184642	3120
7617459	4
6030887	56
6495089	1
368154	1
7617442	6
7882552	6
2003913	1
4843497	1
9776564	4
3292747	1
393117	1
9532075	2
5186765	1
9497083	1
5186759	1
7402730	660
4172850	15
716721	1
3723265	1
3762874	617
7808053	1
7882581	4
6328730	1
6030870	14
6519594	3
7642434	614
8916170	7
6965164	1
368160	39
9776593	7
9595621	1
9605437	2741
1880813	5
7617436	2
9992144	2
2121044	51
368177	128
716738	5
6064219	50
9776587	9
163245	3
9532098	1
4867428	2
5186736	11
716744	17
3723288	7
4784056	19
9507077	1
7808030	3
403034	1
4314126	1
7377535	1
7823667	30
6040259	16
2419128	1
3762822	335
6040265	6
138247	49
2723926	10
7882598	2
7823673	16
3737853	8
5941635	1
2184613	9422
716709	2
7377558	3
4172815	87
393123	60
4328795	1
9532046	1
9898907	1
6040242	15
7534489	2
3928694	4
716715	4
9546692	1
3821826	130
2121073	1
9992109	1
9811415	92
7617465	3
9532052	1
7823650	3
9605466	1
2723932	5
3723242	120
4157218	256
4784010	1
2135626	1
5040406	2
3870807	43
1375564	1
7823621	1
9898936	2
7715831	5
9007877	6
4749692	3
3375752	6
7666469	503
9654424	1
6030806	3
4975193	89
393198	1
726122	18
6270976	1
7715848	2
3688439	268
4926220	445
4818430	1
1145692	1
3845844	16
4676208	7
7666452	535
6030812	10
9007860	3
6270982	3
7666481	65
8882399	1
2135603	3
4363159	300
3037073	2
4387125	1
6029803	18
7715854	8
