ABIRATERONE	2174974
APIXABAN	4194550
APOMORPHINE	4974064;3387063;3387057;3556229
APREPITANT	3635093;3635070;3635118
ARIPIPRAZOLE	3640697;3692145;3692174;3640786;3640734
ATAZANAVIR	3848794;3640438;3848788;3640450
ATENOLOL	3299962;3876307;3355318;3674288;3780820;3564418;3795193;3731678;2169513;3739591;3722685;2169499;3739119;3731773;3731690;3553917;3574210;3729575;3844141;3712497;3574204;3593443;3714272;3722716;3739094;3715018;3728736;3791516;3728682;2168726;3728699;3780843;3722745;3564424;3729701;3714295;3839559;3355330;4948500;3722722;3306159;3839476;3714993;3557565;3712505;3728713;3729919;3299956;3795170;3574173;3731804;3720083;3729954;3714243;3844135;3513639;3876313;2168695;3714220;3720114;4948492;3442655;3674294;3739579;3557559;3557513;3306188
ATORVASTATINE	2213579;4967710;2213705;4965987;4179881;3719921;2174276;2213533;2663437;2213467;2166495;2166590;4198855;2180644;3430675;4198849;4173654;3757554;3430698;2166555;4939470;4174205;4939748;4988793;4172407;4988853;4938625;4173660;4938298;4939719;2174218;4967638;3719944;4182682;2219122;4172815;2218358;3757548;4173482;4179906;4174240;4945884;2180696;4172465;4172850;4938973;2174129;2174388;5812323;4988770;4182624;4944643;4174688;2174336;4939576;4944258;4995907;4939091;2174170;4968856;4174464;2166443;4944092;2213504;4938393;2165308;4988882;4173200;2166644;2180957;4198826;4173714;5823485;2166383;4995793;2663325;4174843;4167091;2166609;4995847;5823462;5823456;4938513;3719938;2174023;4968939;4173944;4180105;4988830;4180016;4182860;4182802;4179987;4198832;3555750;4995787;4995830;4167263;3693050;2215472;4173016;4968276;4939814;4995741;4180080;4968359;3719950;4172666;4166878;2180911;4172608;5823427;4173269;4173890;4167056;4965912;4166832;2215609;2180147;2214538;2219085;2166437;4944169;4198803;4173424;2213674;4988818;4198878;4944324;2219062;4988310;2180472;3692984;2214567;3430681;2180199;4939777;4174412;4939501;4198861;4944413;4938861;4174636;4179792;4179763;4174903;4944560;4167317;4988296;2219056;4198795;2174081;2180526;4945878;4944494;4939530;4938743
ATOVAQUONE	3622647;3657278;3442980
ATROPINE	3653174;3701387;3653197;3701341;3701364
AZATHIOPRINE	3792007;3545131;3641432;3854990;3641490;3052500
AZITHROMYCINE	3802556;3794578;3794526;3876282;3783416;3745999;3794549;3821387;3793538;3565659;3517732;3433372;3824061;3772677;3517778;3932282;3950096;3517755;3783439;2181170;3565642;3953479
AZTREONAM	3692085
BACLOFENE	3674319;3171618
BAMBUTEROL	3371375;3371369
BCG	4925249;3646642
BENAZEPRIL	3907640;3715610;3870807;3870888;3353130;2176967;3907551;3902826;3870859;2176772;3870836;3874308;3715596;3325949;3901560;2176826;3902803;3784249;3731247;3722389;3723905;3784261;3731276;3731230;3722395;2176571;3723880;3722426;3722366;3874320;3731218
BENDROFLUMETHIAZIDE	3103746;3517525
BENZALKONIUM	3853559;3224912;3231711;3300576;3543818;3300553;3129757;3205501
BENZOCAINE	3675081;3762584;3205843;3131493;3762609
BENZYLPENICILLINE	3039095;3039089;3039103
BETAMETHASONE	3205777;3019460;3010996;3019454;3412447;3887819;3894699;3894707;3019508;3274643;3887759;3200509;4977559;3010967;3887541;3894736;3741470;3010973;3887788;3894713
BETAXOLOL	3290458;3351295;3254942;3387175;3714645
BEZAFIBRATE	3262172;3293149;3717738
BIPERIDENE	3149889
BISACODYL	3149292;3269642;3906942;3263651;3025153;3396636
